Title,Title_link,Thumbnail,car-details,payment-total
Jeep Compass Limited Premium,https://www.kavak.com/jeep-compass-limited-premium-2012-compra-de-autos-120828,,"2012 • 91,500 km • Monterrey","$184,999"
Honda Odyssey EXL,https://www.kavak.com/honda-odyssey-exl-2015-compra-de-autos-120760,,"2015 • 83,600 km • Monterrey","$369,999"
Volvo XC60 Kinetic T5,https://www.kavak.com/volvo-xc60-kinetic-t5-2014-compra-de-autos-120706,,"2014 • 97,300 km • Monterrey","$287,999"
Seat Toledo Reference,https://www.kavak.com/seat-toledo-reference-2019-compra-de-autos-120646,,"2019 • 40,200 km • Monterrey","$227,999"
Nissan X Trail Advance,https://www.kavak.com/nissan-x-trail-advance-2017-compra-de-autos-120624,,"2017 • 46,000 km • Monterrey","$314,999"
Honda CR-V EXL,https://www.kavak.com/honda-cr-v-exl-2016-compra-de-autos-120612,,"2016 • 35,000 km • Monterrey","$364,999"
Kia Rio LX,https://www.kavak.com/kia-rio-lx-2018-compra-de-autos-120570,,"2018 • 78,350 km • Monterrey","$222,999"
Volkswagen Tiguan Highline 4x4,https://www.kavak.com/volkswagen-tiguan-highline-4x4-2018-compra-de-autos-120556,,"2018 • 93,260 km • Monterrey","$497,999"
Kia Sorento LX,https://www.kavak.com/kia-sorento-lx-2018-compra-de-autos-120501,,"2018 • 63,080 km • Monterrey","$394,999"
Audi A4 Sport 1.8T,https://www.kavak.com/audi-a4-sport-18t-2014-compra-de-autos-120451,,"2014 • 100,500 km • Monterrey","$259,999"
Nissan X Trail Exclusive,https://www.kavak.com/nissan-x-trail-exclusive-2017-compra-de-autos-120393,,"2017 • 55,160 km • Monterrey","$337,999"
Chevrolet Silverado 2500 Silverado 2500 LS Doble Cab.,https://www.kavak.com/chevrolet-silverado-2500-silverado-2500-ls-doble-cab-2018-compra-de-autos-120326,,"2018 • 43,720 km • Monterrey","$529,999"
Chevrolet Trax LTZ 1.8l,https://www.kavak.com/chevrolet-trax-ltz-18l-2015-compra-de-autos-120304,,"2015 • 119,400 km • Monterrey","$232,999"
Kia Optima SX,https://www.kavak.com/kia-optima-sx-2016-compra-de-autos-120253,,"2016 • 80,890 km • Monterrey","$297,999"
Nissan Pathfinder Exclusive,https://www.kavak.com/nissan-pathfinder-exclusive-2015-compra-de-autos-120175,,"2015 • 94,520 km • Monterrey","$342,999"
Toyota C-Hr Base,https://www.kavak.com/toyota-c-hr-base-2018-compra-de-autos-120162,,"2018 • 57,000 km • Monterrey","$363,999"
Kia Rio LX,https://www.kavak.com/kia-rio-lx-2018-compra-de-autos-120093,,"2018 • 33,000 km • Monterrey","$229,999"
Chevrolet Trax Premier,https://www.kavak.com/chevrolet-trax-premier-2019-compra-de-autos-120051,,"2019 • 22,850 km • Monterrey","$351,999"
Nissan NP300 Frontier CrewCab Pro 4x,https://www.kavak.com/nissan-np300-frontier-crewcab-pro-4x-2016-compra-de-autos-120047,,"2016 • 120,340 km • Monterrey","$459,999"
Honda Odyssey EXL,https://www.kavak.com/honda-odyssey-exl-2015-compra-de-autos-120027,,"2015 • 95,000 km • Monterrey","$362,999"
Nissan Sentra Advance,https://www.kavak.com/nissan-sentra-advance-2018-compra-de-autos-119958,,"2018 • 20,510 km • Monterrey","$244,999"
Toyota Sienna XLE,https://www.kavak.com/toyota-sienna-xle-2016-compra-de-autos-119881,,"2016 • 112,840 km • Monterrey","$392,999"
Hyundai Sonata GLS,https://www.kavak.com/hyundai-sonata-gls-2018-compra-de-autos-119624,,"2018 • 84,140 km • Monterrey","$303,999"
Nissan Altima Advance,https://www.kavak.com/nissan-altima-advance-2013-compra-de-autos-119591,,"2013 • 93,200 km • Monterrey","$185,999"
Seat Toledo Xcellence,https://www.kavak.com/seat-toledo-xcellence-2018-compra-de-autos-119503,,"2018 • 61,230 km • Monterrey","$283,999"
Mazda 3 i touring TA,https://www.kavak.com/mazda-mazda-3-i-touring-ta-2016-compra-de-autos-119368,,"2016 • 95,130 km • Monterrey","$237,999"
Nissan X Trail Advance,https://www.kavak.com/nissan-x-trail-advance-2016-compra-de-autos-119262,https://images.kavak.services/images/119262/EXTERIOR-frontSidePilotNear-16333823264089.jpg?d=540x310,"2016 • 107,300 km • Monterrey","$282,999"
Toyota RAV4 XLE,https://www.kavak.com/toyota-rav4-xle-2013-compra-de-autos-119234,https://images.kavak.services/images/119234/EXTERIOR-frontSidePilotNear-16324105956806.jpg?d=540x310,"2013 • 113,300 km • Monterrey","$267,999"
Chevrolet Sonic LT  (Cambio de línea),https://www.kavak.com/chevrolet-sonic-lt-cambio-de-linea-2017-compra-de-autos-119208,https://images.kavak.services/images/119208/EXTERIOR-frontSidePilotNear-16327578689932.jpg?d=540x310,"2017 • 84,100 km • Monterrey","$184,999"
Mazda 3 HB I Touring,https://www.kavak.com/mazda-mazda-3-hb-i-touring-2017-compra-de-autos-119085,https://images.kavak.services/images/119085/EXTERIOR-frontSidePilotNear-16324089508668.jpg?d=540x310,"2017 • 54,800 km • Monterrey","$269,999"
Kia Soul LX,https://www.kavak.com/kia-soul-lx-2017-compra-de-autos-118999,https://images.kavak.services/images/118999/EXTERIOR-frontSidePilotNear-16323517353027.jpg?d=540x310,"2017 • 58,000 km • Monterrey","$251,999"
